contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250122C00605000,2025-01-22 17:42:01+00:00,605.0,2.59,2.57,2.63,1.8999999,275.36227,48046.0,15774,0.088876298828125,True,REGULAR,USD
SPY250122C00606000,2025-01-22 17:42:33+00:00,606.0,1.7,1.67,1.72,1.2800001,304.76196,190196.0,12392,0.073251455078125,True,REGULAR,USD
SPY250122C00607000,2025-01-22 17:42:30+00:00,607.0,0.91,0.91,0.93,0.67,268.0,325168.0,22097,0.060800407714843754,True,REGULAR,USD
SPY250122C00608000,2025-01-22 17:42:31+00:00,608.0,0.36,0.35,0.36,0.24000001,218.18185,230475.0,9655,0.0512790185546875,False,REGULAR,USD
SPY250122C00609000,2025-01-22 17:42:32+00:00,609.0,0.1,0.1,0.11,0.030000001,42.857143,130651.0,9755,0.04908177490234375,False,REGULAR,USD
SPY250122C00610000,2025-01-22 17:42:35+00:00,610.0,0.03,0.03,0.04,-0.01,-20.000002,116608.0,25669,0.05323212402343751,False,REGULAR,USD
SPY250122C00611000,2025-01-22 17:42:01+00:00,611.0,0.01,0.01,0.02,-0.01,-50.0,22387.0,3720,0.060556269531250005,False,REGULAR,USD
SPY250122C00612000,2025-01-22 17:42:33+00:00,612.0,0.01,0.01,0.02,0.0,0.0,13261.0,4456,0.07422800781250001,False,REGULAR,USD
SPY250122C00613000,2025-01-22 17:40:26+00:00,613.0,0.01,0.0,0.01,-0.01,-50.0,5121.0,711,0.07813421875000001,False,REGULAR,USD
SPY250122C00614000,2025-01-22 17:34:50+00:00,614.0,0.01,0.0,0.01,0.0,0.0,264.0,420,0.0898528515625,False,REGULAR,USD
SPY250122C00615000,2025-01-22 17:39:09+00:00,615.0,0.01,0.0,0.01,0.0,0.0,733.0,2824,0.10157148437499999,False,REGULAR,USD
SPY250122C00616000,2025-01-22 17:11:41+00:00,616.0,0.01,0.0,0.01,0.0,0.0,31.0,390,0.1132901171875,False,REGULAR,USD
SPY250122C00617000,2025-01-22 16:53:36+00:00,617.0,0.01,0.0,0.01,0.0,0.0,51.0,1345,0.12500875,False,REGULAR,USD
SPY250122C00618000,2025-01-22 16:37:49+00:00,618.0,0.01,0.0,0.01,0.0,0.0,258.0,561,0.13672738281250002,False,REGULAR,USD
SPY250122C00620000,2025-01-22 16:01:53+00:00,620.0,0.01,0.0,0.01,0.0,0.0,552.0,1682,0.1562584375,False,REGULAR,USD
SPY250122C00625000,2025-01-22 15:48:04+00:00,625.0,0.01,0.0,0.01,0.0,0.0,6.0,1853,0.21094539062499998,False,REGULAR,USD
SPY250122C00630000,2025-01-22 15:01:33+00:00,630.0,0.01,0.0,0.01,0.0,0.0,10.0,89,0.2617261328125,False,REGULAR,USD
SPY250122C00635000,2025-01-15 16:54:00+00:00,635.0,0.02,0.0,0.01,0.0,0.0,3.0,15,0.31250687499999996,False,REGULAR,USD
SPY250122C00640000,2025-01-17 16:51:56+00:00,640.0,0.01,0.0,0.01,0.0,0.0,5.0,415,0.35938140625,False,REGULAR,USD
SPY250122C00645000,2025-01-21 15:38:09+00:00,645.0,0.01,,0.01,0.0,0.0,4.0,164,0.4062559375,False,REGULAR,USD
SPY250122C00650000,2025-01-17 15:58:19+00:00,650.0,0.01,,0.01,0.0,0.0,,50,0.45313046875,False,REGULAR,USD
SPY250122C00655000,2025-01-17 15:59:02+00:00,655.0,0.01,,0.01,0.0,0.0,,151,0.500005,False,REGULAR,USD
SPY250122C00665000,2025-01-10 15:11:51+00:00,665.0,0.01,0.0,0.01,0.0,0.0,255.0,255,0.5625043750000001,False,REGULAR,USD
SPY250122C00670000,2025-01-10 15:11:54+00:00,670.0,0.01,0.0,0.01,0.0,0.0,251.0,251,0.5937540625000001,False,REGULAR,USD
SPY250122C00675000,2025-01-13 15:15:37+00:00,675.0,0.01,,0.01,0.0,0.0,,1,0.6875031250000001,False,REGULAR,USD
