Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-11-15 00:00:00-05:00,19.26485824584961,19.344795720665022,19.104983296218784,19.26485824584961,48600,0.0,0.0
2006-11-16 00:00:00-05:00,19.104982376098633,19.264857318029676,19.081002202085287,19.104982376098633,38300,0.0,0.0
2006-11-17 00:00:00-05:00,19.344797134399414,19.344797134399414,18.985079233781825,19.344797134399414,36300,0.0,0.0
2006-11-20 00:00:00-05:00,19.344797134399414,19.384765112387758,19.10498469242748,19.344797134399414,34500,0.0,0.0
2006-11-21 00:00:00-05:00,19.424732208251953,19.424732208251953,19.14495332567774,19.424732208251953,57600,0.0,0.0
2006-11-22 00:00:00-05:00,19.504669189453125,19.62457463960548,19.38476373930077,19.504669189453125,21600,0.0,0.0
2006-11-24 00:00:00-05:00,19.504669189453125,19.504669189453125,19.504669189453125,19.504669189453125,0,0.0,0.0
2006-11-27 00:00:00-05:00,19.384761810302734,19.664542182604002,19.384761810302734,19.384761810302734,53000,0.0,0.0
2006-11-28 00:00:00-05:00,19.464702606201172,19.70451352365457,19.38476512548983,19.464702606201172,24600,0.0,0.0
2006-11-29 00:00:00-05:00,19.65654945373535,19.70451132694299,19.46470043622435,19.65654945373535,21900,0.0,0.0
2006-11-30 00:00:00-05:00,19.704509735107422,19.94432213113319,19.584604299434705,19.704509735107422,15900,0.0,0.0
2006-12-01 00:00:00-05:00,19.62457275390625,19.62457275390625,19.34479390532784,19.62457275390625,25200,0.0,0.0
2006-12-04 00:00:00-05:00,19.62457275390625,19.62457275390625,19.18491897069986,19.62457275390625,17000,0.0,0.0
2006-12-05 00:00:00-05:00,19.58460235595703,19.66453981336636,19.384759474773794,19.58460235595703,27600,0.0,0.0
2006-12-06 00:00:00-05:00,19.704509735107422,19.744479230118554,19.46469886376199,19.704509735107422,21700,0.0,0.0
2006-12-07 00:00:00-05:00,19.82441520690918,20.1441650688596,19.784447236505546,19.82441520690918,18100,0.0,0.0
2006-12-08 00:00:00-05:00,20.02425765991211,20.104195123609784,19.864384257197067,20.02425765991211,35500,0.0,0.0
2006-12-11 00:00:00-05:00,19.984294891357422,19.984294891357422,19.66454647803184,19.984294891357422,22900,0.0,0.0
2006-12-12 00:00:00-05:00,20.104196548461914,20.144166045483676,19.824416168031227,20.104196548461914,19100,0.0,0.0
2006-12-13 00:00:00-05:00,20.304039001464844,20.62378734702327,19.944322684466755,20.304039001464844,55700,0.0,0.0
2006-12-14 00:00:00-05:00,20.1441650390625,20.224100979751526,20.104195544037648,20.1441650390625,110200,0.0,0.0
2006-12-15 00:00:00-05:00,19.8643856048584,20.10419648754063,19.78444813573752,19.8643856048584,41300,0.0,0.0
2006-12-18 00:00:00-05:00,19.704509735107422,19.904352636122063,19.66454176477663,19.704509735107422,36100,0.0,0.0
2006-12-19 00:00:00-05:00,19.984294891357422,20.024262871267855,19.744483962533412,19.984294891357422,33500,0.0,0.0
2006-12-20 00:00:00-05:00,19.984294891357422,19.984294891357422,19.984294891357422,19.984294891357422,30100,0.0,0.0
2006-12-21 00:00:00-05:00,19.944324493408203,19.944324493408203,19.624574594168223,19.944324493408203,44500,0.0,0.0
2006-12-22 00:00:00-05:00,19.82441520690918,19.86438470199315,19.584604335126702,19.82441520690918,33000,0.0,0.0
2006-12-26 00:00:00-05:00,19.904354095458984,20.144166509067194,19.624573708589633,19.904354095458984,133000,0.0,0.0
2006-12-27 00:00:00-05:00,20.184133529663086,20.184133529663086,19.8643851846243,20.184133529663086,27400,0.0,0.0
2006-12-28 00:00:00-05:00,20.104196548461914,20.104196548461914,19.74448022334853,20.104196548461914,22900,0.0,0.0
2006-12-29 00:00:00-05:00,20.1441650390625,20.1441650390625,19.864384672609898,20.1441650390625,22900,0.0,0.0
2007-01-03 00:00:00-05:00,19.984294891357422,20.22410582018143,19.864389426945415,19.984294891357422,38500,0.0,0.0
2007-01-04 00:00:00-05:00,19.984294891357422,19.984294891357422,19.744483962533412,19.984294891357422,32000,0.0,0.0
2007-01-05 00:00:00-05:00,19.58460235595703,19.624570322321603,19.26485405099989,19.58460235595703,26900,0.0,0.0
